 ,0.5,1,5,10, 
0.25,0.365051,0.435004,0.532979,0.549921,0.525026
0.125,0.1978,0.23277,0.262171,0.266059,0.26508
0.0625,0.121498,0.138754,0.152833,0.154635,0.155313
0.03125,0.0778207,0.0869855,0.0939779,0.0955374,0.107756
